competency_id,subdomain_id,competency_code,competency_title,competency_statement,sort_order
e5110b04-bc89-4797-9b18-0d9763ea11af,28c34d7d-9b42-4d27-b54e-d2fdcbd01305,1.1.1,Describe basic ethical concepts and principles in health and digital health,Describe basic ethical concepts and principles in health and digital health,1
97608f84-a5e0-4e0e-a452-f505092ce6e4,28c34d7d-9b42-4d27-b54e-d2fdcbd01305,1.1.2,Consider the ethical dimensions of an issue,"Consider the ethical dimensions of an issue, including the values, dilemmas and implications",2
99605924-cac9-4dc4-82d8-e95320f59cac,28c34d7d-9b42-4d27-b54e-d2fdcbd01305,1.1.3,Enable critical thinking mechanisms,Apply ethics and evidence to support critical thinking,3
cba5935e-0333-4cf5-82bc-7854880e5ed2,28c34d7d-9b42-4d27-b54e-d2fdcbd01305,1.1.4,Analyze each stakeholders’ values and impacts,Analyze each stakeholders’ values and possible impacts from digital health,4
aa1dfa80-681d-4064-935a-c849aaf9f133,caf367ae-fffa-4225-b70a-b97a8a650525,1.2.1,"Describe the recent ethical policies, guidelines and regulations for digital health","Describe the recent ethical policies, guidelines and regulations for digital health",5
ddef1485-491b-4054-8130-e0ffecc87e8f,caf367ae-fffa-4225-b70a-b97a8a650525,1.2.2,Address ethical harms and inequities,Establish systemic mechanisms to address ethical harms and inequities that can arise from digital health systems,6
59496a1d-2461-4f4e-a495-c343c12eb0ea,caf367ae-fffa-4225-b70a-b97a8a650525,1.2.3,Guide the resolution of conflicts of interest,Guide the resolution of conflicts of interest arising for multiple stakeholder groups in digital health systems and initiatives,7
54858f85-a7f8-421f-8346-40347379529d,caf367ae-fffa-4225-b70a-b97a8a650525,1.2.4,Create a culture of accountability to achieve ethical and equitable digital health implementation,Create a culture of accountability to achieve ethical and equitable implementation of digital health systems and initiatives.,8
4ab299a3-adab-4f04-bae7-cc398226f810,e53742c6-db58-401e-ba0d-aaff70f3a13e,1.3.1,Describe the digital divide and other factors that can affect health equity,Describe the digital divide and other factors that can affect health equity,9
53a8877f-54c1-4ff0-b759-95cacacbef7e,e53742c6-db58-401e-ba0d-aaff70f3a13e,1.3.2,Recognize the types of ethics and equity issues that can arise in the data generated by and used in digital health,Recognize the types of ethics and equity issues that can arise in the data generated by and used in digital health,10
5501f413-b6a0-46de-afcd-f5f2a5f7412f,e53742c6-db58-401e-ba0d-aaff70f3a13e,1.3.3,"Recognize the types of ethics and equity issues that can arise in the design, use, and diffusion of digital health","Recognize the types of ethics and equity issues that can arise in the design, use, and diffusion of digital health",11
8d776518-8b6c-4362-af9e-50541cfaad38,e53742c6-db58-401e-ba0d-aaff70f3a13e,1.3.4,Integrate socio-technical and cultural and technical approaches to addressing ethics and equity in the digital health system life cycle,"Integrate social, cultural and technical approaches to addressing ethics and equity in the digital health system life cycle",12
8d550e1d-9884-4d76-9340-1f3ee51019d7,2bad4cca-3935-47be-818f-eae1faed3423,1.4.1,"Identify tenets of Privacy, Security, and Confidentiality","Identify tenets of organizational and national privacy, security, and confidentiality regulations applicable to clinical setting",13
4023e51b-a569-40b3-842d-b154b1beeb8d,2bad4cca-3935-47be-818f-eae1faed3423,1.4.2,Obtain Informed Consent,Obtain informed consent,14
e32d990d-cbb0-486e-b908-2877275edb4d,2bad4cca-3935-47be-818f-eae1faed3423,1.4.3,Apply safeguards for authorization,Apply different models of controlling access to electronic information to prevent unauthorized access,15
deace25f-137e-4781-865d-da87c870e105,2bad4cca-3935-47be-818f-eae1faed3423,1.4.4,Mitigate security risks of technology,Ensure the implementation of appropriate security policies and procedures including regular security audits,16
64604a41-f77f-43fc-b723-acaf82b83466,2bad4cca-3935-47be-818f-eae1faed3423,1.4.5,Navigate balance of security with operations and resources,"Navigate the balance of privacy and security of health information and data with improved healthcare delivery, health technology development, health system management, and resource utilization",17
0a772660-7fe9-4b39-b073-38c0b1eb763f,2bad4cca-3935-47be-818f-eae1faed3423,1.4.6,Promote safety and prevent harm,Promote development of systems that are safe and reliable and prevent harm from occurring,18
8d47d5da-fb6c-4761-845f-72c26d5437ea,32d51379-b69b-43c3-8a81-605d8819bf0c,1.5.1,Demonstrate high standards of ethical conduct (adapted from WHO-UHC),Demonstrate high standards of ethical conduct (adapted from WHO-UHC),19
1a84b8c4-41c7-458f-9140-ec97ad9829b5,32d51379-b69b-43c3-8a81-605d8819bf0c,1.5.2,Promote individual and community agency (adapted from WHO-UHC),Promote individual and community agency (adapted from WHO-UHC),20
08c73c55-2a1e-4d10-bd58-e24bf512e251,32d51379-b69b-43c3-8a81-605d8819bf0c,1.5.3,"Provide culturally sensitive, respectful and compassionate care (adapted from WHO-UHC)","Provide culturally sensitive, respectful and compassionate care (adapted from WHO-UHC)",21
af0e3127-79ae-4722-bc0a-9c3b6fb2ed3b,32d51379-b69b-43c3-8a81-605d8819bf0c,1.5.4,Incorporate a holistic approach to health (adapted from WHO-UHC),Incorporate a holistic approach to health (adapted from WHO-UHC),22
43407734-9da0-4c8c-b84e-c0a95d4d7fec,32d51379-b69b-43c3-8a81-605d8819bf0c,1.5.5,Contribute to a culture of safety and quality improvement (adapted from WHO-UHC),Contribute to a culture of safety and quality improvement (adapted from WHO-UHC),23
c9796ebb-6a24-4979-b90a-dab98e7c04be,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.1,Describe factors to support sustainable health IT interventions and programs,Describe from both and ethical and equity perspective the factors that health IT developers need to consider in order to develop interventions and programs that are sustainable in the communities in which they are deployed,24
6fdc2d23-4de0-4d03-8372-408a1c2cbd64,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.2,Describe contributions of health IT to climate and disaster challenges,Demonstrate awareness of the environmental impacts of digital health technologies using ethical and equity lenses,25
dc50ae24-66ad-4377-81b5-7b619efb408e,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.3,Identify how health IT can address climate and disaster challenges,Identify how health information technologies can be used to mitigate or address climate change and environmental disasters in an ethical and equitable manner,26
07647b18-9682-4d3a-ac14-65d7e7693bff,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.4,Assess environmental impact in digital health project planning,Assess environmental impact during digital health system planning and procurement,27
7df1fa5c-38ed-43cd-a00e-4d80b8ad6190,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.5,Implement resource optimization and environmental strategies in digital health operations and infrastructure,Implement and integrate resource optimization and environmental strategies in digital health operations and infrastructure decisions,28
dddf649a-0243-484d-83b8-583db46bb624,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.6,Establish sustainable technology lifecycle management practices,Establish sustainable technology lifecycle management practices,29
90f616a5-4c8f-4869-8c4b-562a70b4cf2d,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.7,Monitor and report on environmental performance of digital health programs,"Support or initiate the regular monitoring, evaluation, and reporting of the environmental impact of digital health operations and suggest/implement targeted improvements.",30
7867e468-66b4-43e4-bf81-a7c99401ef19,f326cd3a-eb7b-4d26-8044-26d8efcd0ed5,1.6.8,Promote and Adopt Sustainable Digital Practices,Promote and adopt sustainable digital practices and olicies for dco-friendly operations,31
4131427e-df42-447b-a45c-d25f993f1f9e,e58313cf-f78d-4512-8651-8ed0854547ba,2.1.1,Proactively manage interactions with others,Proactively manage interactions with others,32
3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,e58313cf-f78d-4512-8651-8ed0854547ba,2.1.2,"Adapt communication to the goals, needs, urgency and sensitivity of the interaction","Adapt communication to the goals, needs, urgency and sensitivity of the interaction",33
525e0e13-bc1f-4c2f-97fb-90b241a7a954,e58313cf-f78d-4512-8651-8ed0854547ba,2.1.3,Listen actively and attentively,Listen actively and attentively,34
38cff686-6c0c-4b1c-8695-a2667017cfcf,e58313cf-f78d-4512-8651-8ed0854547ba,2.1.4,Convey information purposefully,Convey information purposefully,35
7e43c612-f9d5-4e8e-b40e-1878ed7246cc,e58313cf-f78d-4512-8651-8ed0854547ba,2.1.5,Manage information sharing and documentation,Manage information sharing and documentation,36
41cbffab-de11-405d-8818-5c86161df14a,87e14e5a-6835-4be6-86a7-06db3eb56d5d,2.2.1,Engage in collaborative practice,Engage in collaborative practice,37
94af8b29-0f6f-4712-8d68-3e961cddaf44,87e14e5a-6835-4be6-86a7-06db3eb56d5d,2.2.2,Build and maintain trusting partnerships,Build and maintain trusting partnerships,38
638ef3b7-c844-4464-8e18-b947f0f81d42,87e14e5a-6835-4be6-86a7-06db3eb56d5d,2.2.3,"Learn from, with and about others","Learn from, with and about others",39
e2e3772b-6bb0-483a-8dd5-0020320c91c9,87e14e5a-6835-4be6-86a7-06db3eb56d5d,2.2.4,Constructively manage tensions and conflicts,Constructively manage tensions and conflicts,40
3bdd0160-5346-4629-873d-2eb794247eda,87e14e5a-6835-4be6-86a7-06db3eb56d5d,2.2.5,Place people at the centre of all practice (Engagement mindset),Place people at the centre of all practice (Engagement mindset),41
17940cc9-37dc-4472-bb4f-0f13f3dae494,f85c6e21-3c0f-43cf-babd-111d6aba8161,2.3.1,"Take an adaptive, collaborative and rigorous approach to decision-making","Take an adaptive, collaborative and rigorous approach to decision-making",42
2b75d681-af72-40f6-9294-645b23950a1d,f85c6e21-3c0f-43cf-babd-111d6aba8161,2.3.2,Incorporate a systems approach to decision-making,Incorporate a systems approach to decision-making,43
49b0218b-77f0-4eba-911e-acd1d95da1bf,f85c6e21-3c0f-43cf-babd-111d6aba8161,2.3.3,Take a solutions-oriented approach to problem-solving,Take a solutions-oriented approach to problem-solving,44
d0dd1cdd-4659-467d-a53e-fdce1b61ed86,f85c6e21-3c0f-43cf-babd-111d6aba8161,2.3.4,Adapt to unexpected or changing situations,Adapt to unexpected or changing situations,45
602ffce3-e51a-4751-a64f-31c5e44cdf6b,f1d7751a-0df7-4c9e-a978-6c64bcf70ed9,3.1.1,"Set the Policy, Regulatory or Governance Agenda",Identify and frame new issues that may require government action for digital health,46
858eacbd-2a25-4a5c-8aec-3f188846758f,f1d7751a-0df7-4c9e-a978-6c64bcf70ed9,3.1.2,"Formulate policies, regulations or governance mechanisms","Draft and evaluate the policy, regulation or governance mechanism",47
cfb0cae4-6999-46e8-94b7-c153b664e71c,f1d7751a-0df7-4c9e-a978-6c64bcf70ed9,3.1.3,"Implement policies, regulations or governance mechanisms","Establish the resources, structures and processes for implementation of the policy, regulation, or governance mechanism",48
c53539eb-fe59-4ccf-a864-ab932f05c409,f1d7751a-0df7-4c9e-a978-6c64bcf70ed9,3.1.4,"Steward the adoption of policies, regulations and governance mechanisms","Steward the implementation of policies, regulations and governance structures and processes in digital health",49
4c993e28-b4ea-48d9-b151-0a2d04385ba6,f1d7751a-0df7-4c9e-a978-6c64bcf70ed9,3.1.5,"Evaluate policies, regulations or governance mechanisms post-implementation","Evaluate impact of the policy, regulation, or governance mechanism to digital health",50
0af82d6f-1d7d-4d9d-938a-2ff0eb214ca1,f1d7751a-0df7-4c9e-a978-6c64bcf70ed9,3.1.6,"Support and maintain policies, regulations or governance mechanisms post-implementation","Support and maintain policies, regulations, or governance mechanisms to digital health",51
1f526fd4-377e-481e-9e44-d7c8a443a6fc,f1d7751a-0df7-4c9e-a978-6c64bcf70ed9,3.1.7,"Follow policies, regulations and governance structures and processes","Adhere to approved policies, regulations and governance structures and processes in digital health",52
93dca835-9489-44a2-87da-59377257207b,1c336037-92c6-4425-bbd5-f5d4cd9d5dca,3.2.1,Develop clear vision and well-informed digital health strategies,Develop clear vision and well-informed digital health strategies,53
fafd66eb-3b07-46b3-b0a2-b68f8ed97450,1c336037-92c6-4425-bbd5-f5d4cd9d5dca,3.2.2,Implement digital health strategies,Implement digital health initiatives in-line with the defined strategies and resources,54
2ff87539-c09e-40b8-9c17-1fa3dd6e086d,1c336037-92c6-4425-bbd5-f5d4cd9d5dca,3.2.3,Facilitate institutionalization of digital health strategies,Facilitate institutionalization of digital health strategies in a given context/institution,55
a3f5dd47-d7a9-4cb8-88f4-12200e9c0feb,1c336037-92c6-4425-bbd5-f5d4cd9d5dca,3.2.4,Monitor and evaluate digital health strategy,Monitor and evaluate digital health strategy according to strategy lifecycle and KPIs,56
959c934a-a3eb-4efc-82e4-9ee912cb441e,1c336037-92c6-4425-bbd5-f5d4cd9d5dca,3.2.5,Negotiate to achieve the digital health strategic objectives,"Negotiate to achieve the objectives of a digital health strategy, transformation plan, policy intiative, etc",57
b8052df1-2a27-4c7e-b2ae-813e6a5fa5e1,52f25fb2-4154-4db5-af0b-17e7a6890e11,3.3.1,Lead digital transformation,Lead digital transformation to achieve improved health outcomes,58
3d62f2fd-8aa7-4238-8336-a5fd43b07a21,52f25fb2-4154-4db5-af0b-17e7a6890e11,3.3.2,Promote innovation,Promote innovation to generate new ideas and creative problem-solving for all types of health and health system challenges.,59
bdf7f545-21ad-4757-9fbf-a82de66aed90,52f25fb2-4154-4db5-af0b-17e7a6890e11,3.3.3,Catalyze agenda/action with stakeholders,Move digital health agenda forward with the support and engagement of key stakeholders,60
