criteria_id,competency_id,criteria_text,sort_order
bbaad138-a086-479f-a1dd-2329e09a8af1,4131427e-df42-447b-a45c-d25f993f1f9e,"Clarify the communication goals (conveying or receiving information, persuading, building trust or providing support) for an interaction",1
d3fd40f5-d6b9-49b0-a32a-c617ce3f05a1,4131427e-df42-447b-a45c-d25f993f1f9e,"Facilitate communication among individuals, groups, and organizations",2
2501ac3b-eda1-49d3-ad53-d7e69ea695f5,4131427e-df42-447b-a45c-d25f993f1f9e,"Identify when and how to initiate, conduct and close an interaction",3
49ca8203-3666-4a3d-8dd6-990973a18a47,4131427e-df42-447b-a45c-d25f993f1f9e,"Manage communication barriers (due to cognitive, physical or sensory impairment, culture, developmental stage, geography or language)",4
8f20dfb8-d98e-4ba6-a36d-a71a188974c3,4131427e-df42-447b-a45c-d25f993f1f9e,Support others to communicate for themselves,5
c0768c8d-9507-46d9-b3d0-ff4eeb86428c,4131427e-df42-447b-a45c-d25f993f1f9e,"Manage the physical environment (physical environment: consider the impact of comfort, privacy, noise, space and temperature) for interactions considering the impact of comfort, privacy, noise, space and temperature",6
c8736ebb-11cb-41d2-8e3b-98f3acece350,4131427e-df42-447b-a45c-d25f993f1f9e,"Communicate in an open, honest, clear and timely manner.",7
037215bf-dc14-45fa-88c2-8aad4739fe77,4131427e-df42-447b-a45c-d25f993f1f9e,"Work with patient advocates, cultural brokers or interpreters when indicated.",8
5b0161f2-e61a-48d7-8cdf-add5335206ee,4131427e-df42-447b-a45c-d25f993f1f9e,"Identify and deliver key messages clearly, while keeping nerves under control.",9
a17a07b7-cb33-4b8a-adf7-38a70f788706,4131427e-df42-447b-a45c-d25f993f1f9e,"Champion ethical, positive, sensitive and appropriate attitudes and behaviours in communicating, collaborating and participating with anybody and everybody.",10
2b67e63f-941f-470f-b25f-61289bddfb9f,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Communicate in writing and orally with linguistic and cultural proficiency (e.g., using age-appropriate materials, incorporating images",1
71168f8d-c070-418e-ae8c-f517d33d21e9,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,Exercise cultural sensitivity in internal and external communication,2
5ae00a11-d11c-43f6-b5a8-15ccf4b8a70c,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Adapt the style, language and method of communication to the interaction",3
70864c04-0961-41a4-92a9-4b99c8f21a82,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Maintain an approach to communication that is characterized by calmness, compassion, empathy, respect, sensitivity and tact",4
32f0319b-43d9-4e3e-a91b-b4732a1fa1fd,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Seek to mitigate the impact of own beliefs, biases, emotional responses, opinions and values on verbal and non-verbal communication",5
8dcbd09c-3c67-49fa-b9ad-8cbcb5fed219,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Use relevant abbreviations, language and terminology, translating complex and clinical content into lay terms as necessary",6
297df8d5-d37d-440f-9494-549e424eab1a,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Ensure that the literacy of populations served (e.g., ability to obtain, interpret, and use health and other information; social media literacy) is reflected in the organization’s policies, programs, and services",7
b8eae60f-662e-47cf-b918-9943dd23f320,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Use a range of verbal, non-verbal, visual, written and digital communication tools and techniques",8
e57edf39-f4b0-4f4f-9b93-7b47899b6405,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,"Know how to write and tailor messages for different audiences e and has a basic understanding of the most effective style to use depending on ones' audience, media format and channel of communication.",9
59b876ce-b901-438e-a690-a0938391bbdc,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,Pay attention to the implications that language and culture have on what is communicated.,10
e48e601b-2ea8-4629-9bac-6c968eb71505,3c7ff72f-df32-4bc7-9a26-9ea6be0d1a59,Construct meaning from visual images.,11
4577ac56-40df-45db-8899-d9832455f738,525e0e13-bc1f-4c2f-97fb-90b241a7a954,Demonstrate strong listening and communication skills,1
e6cf4612-8273-4f87-84fe-008b44c7bddd,525e0e13-bc1f-4c2f-97fb-90b241a7a954,Use a range of non-verbal cues and verbal affirmations,2
4657dd0c-a2a5-43a4-aec7-1cd8ffa05aeb,525e0e13-bc1f-4c2f-97fb-90b241a7a954,"Support others to ask questions and openly express experiences, feelings, ideas and opinions",3
5f12e2bc-4211-4a3a-8276-fd500600f123,525e0e13-bc1f-4c2f-97fb-90b241a7a954,Respond sensitively to what others express,4
c3ff6e7a-35bd-4985-8164-b0cbf89f9133,525e0e13-bc1f-4c2f-97fb-90b241a7a954,"Show empathy and genuine concern,e.g. by maintaining focus on the speaker, offering supportive comments, deferring judgement.",5
5bb8f872-c27c-4955-8acb-c4715c27c66f,525e0e13-bc1f-4c2f-97fb-90b241a7a954,"Show understanding with nonverbal cues (e.g. nodding, eye contact, leaning forward) and verbal affirmations.",6
df1d5d44-f3ad-4064-994b-ae0fde59fa74,525e0e13-bc1f-4c2f-97fb-90b241a7a954,Ask open-ended questions.,7
872ed68a-c539-4e57-b4d2-439ddea39781,525e0e13-bc1f-4c2f-97fb-90b241a7a954,Paraphrase to show understanding.,8
fdc0044a-08f9-4ad8-a42c-f3d8eda5546e,525e0e13-bc1f-4c2f-97fb-90b241a7a954,Ask for clarification if necessary.,9
4f4b0ee6-314f-4693-94c9-0f7287f1be7f,525e0e13-bc1f-4c2f-97fb-90b241a7a954,Is aware of online user behaviour and its implications for written content.,10
8563e6eb-cc99-461b-bbcc-78d1d5d9ad11,38cff686-6c0c-4b1c-8695-a2667017cfcf,"Provide relevant, accurate and complete information",1
57ec318b-dfd9-40fa-bdc3-3af1d0a3c236,38cff686-6c0c-4b1c-8695-a2667017cfcf,"Present information clearly, coherently, concisely and organized logically",2
