competency_id,subdomain_id,competency_code,competency_title,competency_statement,sort_order
08db9144-63c0-4210-af92-4fe3139994d5,ac51b358-c851-4dd0-8532-778e8448fb6b,1.1.1,Describe basic ethical concepts and principles in health and digital health,,1
ab9eb021-6f1d-4e10-b6bf-d791d49b9ed4,ac51b358-c851-4dd0-8532-778e8448fb6b,1.1.2,Consider the ethical dimensions of an issue,,2
cacd0f3f-7ffa-446d-9af8-48887305e37f,ac51b358-c851-4dd0-8532-778e8448fb6b,1.1.3,Enable critical thinking mechanisms,,3
e3008674-18d4-4bb6-a2bf-1545a798fea1,ac51b358-c851-4dd0-8532-778e8448fb6b,1.1.4,Analyze each stakeholders’ values and impacts,,4
14472f26-e63f-43a6-9711-a2e0b361c11b,672e7ba4-388c-4d39-9bf2-b9e59edb3fb1,1.2.1,"Describe the recent ethical policies, guidelines and regulations for digital health",,5
2016b80c-682e-4fe2-9e09-17d0b658d450,672e7ba4-388c-4d39-9bf2-b9e59edb3fb1,1.2.2,Address ethical harms and inequities,,6
56550b3d-45d1-4099-8b90-810fddda427f,672e7ba4-388c-4d39-9bf2-b9e59edb3fb1,1.2.3,Guide the resolution of conflicts of interest,,7
1af55253-0287-4067-8feb-9d2f3d377208,672e7ba4-388c-4d39-9bf2-b9e59edb3fb1,1.2.4,Create a culture of accountability for ethical and equitable digital health implementation,,8
bf723ed7-edee-4237-87fd-fd7679d2eed6,24881292-5557-4b94-b9da-e94e92382642,1.3.1,Describe the digital divide and other factors that can affect health equity,,9
2fecd3e8-8165-4da9-a8fb-08b3951d58f4,24881292-5557-4b94-b9da-e94e92382642,1.3.2,Recognize the types of ethics and equity issues that can arise in the data generated by and used in digital health,,10
9d4b46a7-0e8c-4e48-b062-bde8f1148b06,24881292-5557-4b94-b9da-e94e92382642,1.3.3,"Recognize the types of ethics and equity issues that can arise in the design, use, and diffusion of digital health",,11
3d9b1815-54ad-4537-9f90-40b981dd526f,24881292-5557-4b94-b9da-e94e92382642,1.3.4,Integrate sociocultural and technical approaches to addressing ethics and equity in the digital health system life cycle,,12
bc70bf5b-ae75-4584-af33-dead72520f3c,e91f1cde-e8f1-41f8-a1f7-2fb075bb4207,1.4.1,"Identifies tenets of Privacy, Security, and Confidentiality",,13
d2e63996-b8dc-4ed1-a570-999fe7a001ce,e91f1cde-e8f1-41f8-a1f7-2fb075bb4207,1.4.2,Documentation of Informed Consent,,14
4bbb0816-2515-4957-99d1-b99595dec2a4,e91f1cde-e8f1-41f8-a1f7-2fb075bb4207,1.4.3,Applies safeguards for authorization,,15
1ad79480-15bd-4089-8ed7-bde8a8801d9f,e91f1cde-e8f1-41f8-a1f7-2fb075bb4207,1.4.4,Mitigates security risks of technology,,16
a3e93211-cf9f-41b4-88e8-75c8a1878e90,e91f1cde-e8f1-41f8-a1f7-2fb075bb4207,1.4.5,Navigates balance of security with operations and resources,,17
f5d4c0a8-9bc2-4c8e-a624-388728f05210,e91f1cde-e8f1-41f8-a1f7-2fb075bb4207,1.4.6,Promote safety and prevent harm,,18
6f36b3b6-0324-4560-891d-7106aa7ad08b,bd3c7fbb-a259-4dad-bde9-333a6f49314e,1.5.1,Demonstrates high standards of ethical conduct (adapted from WHO-UHC),,19
40f08005-5151-4731-bff9-21f933104bec,bd3c7fbb-a259-4dad-bde9-333a6f49314e,1.5.2,Promotes individual and community agency (adapted from WHO-UHC),,20
ac8be170-854a-4a92-b99a-9f325b2b2449,bd3c7fbb-a259-4dad-bde9-333a6f49314e,1.5.3,"Provides culturally sensitive, respectful and compassionate care (adapted from WHO-UHC)",,21
ea5deab2-4b75-4a41-bc0b-59d40c537c00,bd3c7fbb-a259-4dad-bde9-333a6f49314e,1.5.4,Incorporates a holistic approach to health (adapted from WHO-UHC),,22
8db63e88-2a47-4844-9199-e3d4994993ad,bd3c7fbb-a259-4dad-bde9-333a6f49314e,1.5.5,Contributes to a culture of safety and quality improvement (adapted from WHO-UHC),,23
acd530ff-1609-4c1d-87f0-f574b7db73a6,7324edd7-4830-4b26-aca3-a0711b4cb845,1.6.1,Factors to support sustainable health IT interventions and programs,,24
b968df58-268a-4d80-8a1e-098785b5f80e,7324edd7-4830-4b26-aca3-a0711b4cb845,1.6.2,Contributions of health IT to climate and disaster challenges,,25
8a4a66b6-9198-4df9-9c33-fc5d5968d466,7324edd7-4830-4b26-aca3-a0711b4cb845,1.6.3,Health IT to address climate and disaster challenges,,26
9d83370e-cee8-47d2-bca8-bbd70fb72bf6,0839e081-78ba-4843-8682-913e443df0e3,2.1.1,Proactively manages interactions with others,,27
f1f830de-31de-4e4b-a86d-404ed208b51d,0839e081-78ba-4843-8682-913e443df0e3,2.1.2,"Adapts communication to the goals, needs, urgency and sensitivity of the interaction",,28
b1fc209e-5343-4d6d-ac07-5ae5da866f62,0839e081-78ba-4843-8682-913e443df0e3,2.1.3,Listens actively and attentively,,29
8639dd57-42d0-4780-854f-4db55b614dda,0839e081-78ba-4843-8682-913e443df0e3,2.1.4,Conveys information purposefully,,30
423b3aae-2792-4125-86d4-9e259d760dec,0839e081-78ba-4843-8682-913e443df0e3,2.1.5,Manages information sharing and documentation,,31
