criteria_id,competency_id,criteria_text,sort_order
ec3ead37-12cd-41c2-8c64-d92cb1a50ad7,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Clarifies the communication goals (conveying or receiving information, persuading, building trust or providing support) for an interaction (1)",1
2674afaf-2eaf-478f-99f1-18da6074449d,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Facilitates communication among individuals, groups, and organizations (4)",2
8f173af5-bbeb-4126-8af4-c2a88e5a9e93,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Identifies when and how to initiate, conduct and close an interaction (1)",3
60e54516-5fe7-434a-83cd-caa277b8af83,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Manages communication barriers (due to cognitive, physical or sensory impairment, culture, developmental stage, geography or language) (1)",4
f11a1ece-12e8-4571-9ce0-80c8e1dd38de,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,Supports others to communicate for themselves (1),5
9e27930d-47b5-4611-b987-ee8310e4b343,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Manages the physical environment (physical environment: consider the impact of comfort, privacy, noise, space and temperature) for interactions considering the impact of comfort, privacy, noise, space and temperature (1)",6
1b050b0f-033e-4b54-9dae-bbb737b0121a,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Communicate in an open, honest, clear and timely manner. (3)",7
9a983fac-e300-4f40-b2ac-f01de3781ba3,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Work with patient advocates, cultural brokers or interpreters when indicated. (3)",8
48a2b220-ae55-4cb0-ad3e-e6595d8b0b91,9d83370e-cee8-47d2-bca8-bbd70fb72bf6,"Identifies and delivers key messages clearly, while keeping nerves under control. (2)",9
bf68e5af-d6fa-43a5-9484-692c90367098,f1f830de-31de-4e4b-a86d-404ed208b51d,"Communicates in writing and orally with linguistic and cultural proficiency (e.g., using age-appropriate materials, incorporating images)4",1
dc26635e-cf52-4748-be23-7c2189297892,f1f830de-31de-4e4b-a86d-404ed208b51d,Exercise cultural sensitivity in internal and external communication5,2
42ebb6c3-8496-4ac4-a97a-9ef6c76d131a,f1f830de-31de-4e4b-a86d-404ed208b51d,"Adapts the style, language and method of communication to the interaction1",3
8b92e10d-8aea-44f3-b2b9-f3314ab0dfba,f1f830de-31de-4e4b-a86d-404ed208b51d,"Maintains an approach to communication that is characterized by calmness, compassion, empathy, respect, sensitivity and tact1",4
e2be333c-caae-4b4d-aa80-060b1b8d1196,f1f830de-31de-4e4b-a86d-404ed208b51d,"Seeks to mitigate the impact of own beliefs, biases, emotional responses, opinions and values on verbal and non-verbal communication1",5
